alpha,hidden layers,max error,min error,avg error,false positives,false negatives
2.0,[],0.0005602263978758364,0.39089033964673886,0.02014172954581183,0,1
2.0,[4],9.452241825932934e-05,0.012028625617040708,0.012074319428266249,0,1
2.0,[5],8.02085437630262e-05,0.01177470492222165,0.011219188928581394,0,1
2.0,[10],9.876199786740664e-05,0.010120541690482408,0.009921424860999199,0,1
2.0,[20],0.00010244861637192983,0.009439757599487028,0.00995509231625067,0,1
2.0,"[5, 6]",0.00025244705996152,0.008096007842382942,0.007549216325260238,0,1
2.0,"[1, 5]",2.3169516237011734e-05,0.18997776641230885,0.18853140429440113,0,10
2.0,"[10, 8]",0.00019298416677785812,0.006315073260618753,0.005752510087446035,0,1
0.5,[],0.001945131839542453,0.38715830304334636,0.04663024731396455,0,1
0.5,[4],0.0008310589905713979,0.01310866901763021,0.011928226972542281,0,1
0.5,[5],0.0003409964668540684,0.01383882532033221,0.012562849150457493,0,1
0.5,[10],0.00043964120075459817,0.01330774934861176,0.011409694065687873,0,1
0.5,[20],0.0002431761371005812,0.010923253828844336,0.01257004821497455,0,1
0.5,"[5, 6]",0.0005340114785328042,0.017261134706882442,0.015052921222209708,0,1
0.5,"[1, 5]",0.0026230493475795876,0.017616680590807246,0.012461525714857159,0,0
0.5,"[10, 8]",0.000679264294960755,0.009501819544472255,0.007761637622410412,0,1
0.1,[],0.008466975787649446,0.3836910571928947,0.1120043024074911,0,3
0.1,[4],0.0044522978103340135,0.04733883314201014,0.02507725596714395,0,1
0.1,[5],0.002082696106785951,0.03469927670967306,0.02934804066597023,0,1
0.1,[10],0.001519239333947693,0.0409249914745562,0.024919854754454598,0,1
0.1,[20],0.001373214222448386,0.044986447274036716,0.022259616868130803,0,1
0.1,"[5, 6]",0.008717583675883017,0.15624685965622084,0.09216090778598454,0,3
0.1,"[1, 5]",0.01929201380423927,0.4189194074723447,0.11940702293783786,0,3
0.1,"[10, 8]",0.00888803658005435,0.16705893258047738,0.10706969755828198,0,3
0.01,[],0.07154610504096966,0.4106221865170433,0.2239428627087884,0,10
0.01,[4],0.06683282467580404,0.40978561513542605,0.26770806355883625,0,10
0.01,[5],0.0672406312701863,0.40821925527303754,0.27181393551507743,0,10
0.01,[10],0.056067382329529875,0.41063946636892423,0.24403077138303975,0,10
0.01,[20],0.0357956129166379,0.40805404443828547,0.22059172818572328,0,10
0.01,"[5, 6]",0.4374659945243365,0.4454171908228003,0.44530467530216683,0,10
0.01,"[1, 5]",0.4426378353657663,0.4445938280518071,0.44510709875161747,0,10
0.01,"[10, 8]",0.4430045150778263,0.4445495471942639,0.4442428089775381,0,10
0.001,[],0.3041410588323387,0.4393011886732141,0.3765868411799973,0,10
0.001,[4],0.4249566222117014,0.4446557885971157,0.44495973667203187,0,10
0.001,[5],0.40259123090333804,0.4457640423835337,0.43811344148950565,0,10
0.001,[10],0.39979239103842984,0.4469640415346784,0.4435673238192939,0,10
0.001,[20],0.4062648460624387,0.4430105807058294,0.4370212475981598,0,10
0.001,"[5, 6]",0.4422123441525872,0.44440725559827815,0.4455154085609266,0,10
0.001,"[1, 5]",0.44397501520009375,0.44473049585880997,0.44531169946220583,0,10
0.001,"[10, 8]",0.4425450098368077,0.4446774258478053,0.4452295678578986,0,10
0.0001,[],0.6254864479349498,0.5572844939360309,0.5360396273691294,0,3
0.0001,[4],0.6127492964398148,0.5761177124317471,0.5616484025965995,0,10
0.0001,[5],0.5715308846935555,0.5492062585793719,0.5279561643470295,0,10
0.0001,[10],0.5552544766257206,0.5581279149300619,0.5328853961767243,0,10
0.0001,[20],0.5238455373897303,0.5566978531222031,0.5489354052955099,0,10
0.0001,"[5, 6]",0.49948561550148035,0.5141365909410114,0.5064685171729817,0,10
0.0001,"[1, 5]",0.5553278743623696,0.5739144485671849,0.5307583751715231,0,10
0.0001,"[10, 8]",0.5192433717588505,0.5151989355273155,0.47606560262165315,0,10
